"249190480","LALIKI","2018","01",8.7,"",1.9,"",-8.0,"",-2.6,"",-.5,"",-12.0,"",46.1,"",6.2,"","28","",14,"",17,9,10
"249190480","LALIKI","2018","02",2.8,"",-3.4,"",-18.2,"",-8.0,"",-6.0,"",-24.0,"",37.0,"",8.8,"","07","",23,"",27,0,16
"249190480","LALIKI","2018","03",13.2,"",2.9,"",-18.2,"",-4.8,"",-1.3,"",-23.7,"",23.7,"",6.4,"","16","",18,"",15,6,7
"249190480","LALIKI","2018","04",24.8,"",17.7,"",-1.2,"",7.1,"",12.0,"",-4.6,"",17.2,"",8.3,"","23","",0,"",0,5,1
"249190480","LALIKI","2018","05",25.0,"",19.9,"",5.0,"",9.9,"",14.6,"",-3.8,"",115.4,"",44.0,"","09","",0,"",0,13,0
"249190480","LALIKI","2018","06",27.0,"",21.1,"",6.0,"",11.9,"",16.1,"",4.0,"",118.3,"",22.8,"","27","",0,"",0,17,0
"249190480","LALIKI","2018","07",26.8,"",22.4,"",4.2,"",12.3,"",16.9,"",2.0,"",91.3,"",32.5,"","17","",0,"",0,15,0
"249190480","LALIKI","2018","08",30.7,"",24.4,"",6.8,"",13.6,"",18.5,"",5.0,"",56.1,"",13.6,"","26","",0,"",0,10,0
"249190480","LALIKI","2018","09",25.0,"",18.6,"",-2.2,"",8.8,"",13.1,"",-5.0,"",159.3,"",82.8,"","02","",0,"",0,13,2
"249190480","LALIKI","2018","10",21.9,"",14.6,"",.0,"",5.6,"",9.6,"",-3.6,"",83.6,"",31.7,"","23","",0,"",0,9,2
"249190480","LALIKI","2018","11",17.9,"",7.7,"",-10.0,"",1.4,"",4.2,"",-12.8,"",10.9,"",3.3,"","02","",2,"",1,6,4
"249190480","LALIKI","2018","12",4.0,"",.1,"",-9.7,"",-3.6,"",-1.8,"",-12.4,"",136.1,"",17.1,"","25","",27,"",21,9,14
"249190520","OBIDOWA","2018","01",7.6,"",1.5,"",-10.8,"",-3.7,"",-1.4,"",.0,"8",27.6,"",7.0,"","08","",12,"",15,7,9
